//X,Y,Z,ObjIdx
-15.29640579,41.65318298,1.54953957,0.000000
-15.00851536,41.65205002,1.54606640,0.000000
-14.72199154,41.65095520,1.54266644,0.000000
-14.67289066,42.33130646,1.56452501,0.000000
-14.66962814,43.17032242,1.59220076,0.000000
-14.66628838,44.03962708,1.62093580,0.000000
-14.45628834,44.30807495,1.62754309,0.000000
-14.65912056,45.87602615,1.68182504,0.000000
-14.65537071,46.84708023,1.71411753,0.000000
-14.65148449,47.85611343,1.74773848,0.000000
-14.64738274,48.90565491,1.78277385,0.000000
-14.64312458,49.99813461,1.81931138,0.000000
-14.63871098,51.13636780,1.85744798,0.000000
-14.59371090,52.17881775,1.89204812,0.000000
-3.31648421,12.14282227,0.43956831,0.000000
-3.23703122,12.14252949,0.43883529,0.000000
-3.15781236,12.14221668,0.43812025,0.000000
-3.07886720,12.14190388,0.43742445,0.000000
-3.00015616,12.14159107,0.43674606,0.000000
-2.92167974,12.14129829,0.43608686,0.000000
-2.84343743,12.14098644,0.43544692,0.000000
-2.83226562,12.43393517,0.44532576,0.000000
-2.75261712,12.43362236,0.44470596,0.000000
-2.67316389,12.43331051,0.44410354,0.000000
-2.59390616,12.43303680,0.44352004,0.000000
-2.51484370,12.43272400,0.44295424,0.000000
-2.43601561,12.43241215,0.44240585,0.000000
-2.35742188,12.43209934,0.44187513,0.000000
-2.27898431,12.43178654,0.44136274,0.000000
-2.20066404,12.43149376,0.44086745,0.000000
-2.12257814,12.43118095,0.44038954,0.000000
-2.04460931,12.43088818,0.43993026,0.000000
-1.96683586,12.43059540,0.43948746,0.000000
-1.88921869,12.43030262,0.43906143,0.000000
-1.81173825,12.42998028,0.43865341,0.000000
-1.69347656,12.13655281,0.42792526,0.000000
-1.61812496,12.13624001,0.42755905,0.000000
-1.54289055,12.13594723,0.42720962,0.000000
-1.46773434,12.13565445,0.42687666,0.000000
-1.39273429,12.13538074,0.42655930,0.000000
-1.31781244,12.13506794,0.42625931,0.000000
-1.24296868,12.13479424,0.42597517,0.000000
-1.16828120,12.13452148,0.42570692,0.000000
-1.09367180,12.13420868,0.42545485,0.000000
-1.01914060,12.13391590,0.42521927,0.000000
-0.94464844,12.13364220,0.42499924,0.000000
-0.87031245,12.13334942,0.42479506,0.000000
-0.79597652,12.13305664,0.42460740,0.000000
-0.72171873,12.13278294,0.42443526,0.000000
-0.64753902,12.13249016,0.42427963,0.000000
-0.57339841,12.13219738,0.42413923,0.000000
-0.49929687,12.13190365,0.42401472,0.000000
-0.42523438,12.13163090,0.42390639,0.000000
-0.35121092,12.13133717,0.42381331,0.000000
-0.27726561,12.13104439,0.42373672,0.000000
-0.20328124,12.13077164,0.42367506,0.000000
-0.12937500,12.13045883,0.42362928,0.000000
-0.05539062,12.13018513,0.42359999,0.000000
0.01851562,12.12991142,0.42358565,0.000000
0.09242187,12.12961864,0.42358747,0.000000
0.16632812,12.12932587,0.42360517,0.000000
0.24031250,12.12903309,0.42363846,0.000000
0.31421873,12.12875938,0.42368698,0.000000
0.38820311,12.12848568,0.42375198,0.000000
0.46222654,12.12819290,0.42383376,0.000000
0.53625000,12.12791920,0.42392990,0.000000
0.61031246,12.12762642,0.42404190,0.000000
0.68437499,12.12731457,0.42416975,0.000000
0.75859374,12.12704086,0.42431319,0.000000
0.83273435,12.12674809,0.42447248,0.000000
0.90703124,12.12645435,0.42464828,0.000000
0.98132813,12.12616158,0.42483991,0.000000
0.63335937,7.27446270,0.25499070,0.000000
0.63144529,6.77416992,0.23758468,0.000000
0.62974608,6.33781242,0.22241104,0.000000
0.63480467,6.01604462,0.21125197,0.000000
0.67156249,6.01297855,0.21128371,0.000000
0.70867187,6.01284170,0.21142715,0.000000
0.74585938,6.01268530,0.21157821,0.000000
0.78304684,6.01252937,0.21173722,0.000000
0.82031250,6.01239252,0.21190353,0.000000
0.85765624,6.01225567,0.21207900,0.000000
0.89503902,6.01209927,0.21226211,0.000000
0.93250000,6.01196289,0.21245377,0.000000
0.97003907,6.01180649,0.21265334,0.000000
1.00765622,6.01166964,0.21286117,0.000000
1.04531252,6.01151371,0.21307784,0.000000
1.08308589,6.01137686,0.21330276,0.000000
1.12093747,6.01122046,0.21353592,0.000000
1.15886712,6.01108408,0.21377730,0.000000
1.19687498,6.01092768,0.21402785,0.000000
1.23496091,6.01079082,0.21428725,0.000000
1.27316403,6.01063442,0.21455459,0.000000
1.31148434,6.01049805,0.21483047,0.000000
1.34984374,6.01032209,0.21511459,0.000000
1.38832033,6.01018524,0.21540847,0.000000
1.42695308,6.01004887,0.21571060,0.000000
1.46566403,6.00987291,0.21602157,0.000000
1.50449216,6.00973606,0.21634170,0.000000
1.54339838,6.00958014,0.21667068,0.000000
1.58246088,6.00942373,0.21700881,0.000000
1.62167966,6.00928688,0.21735610,0.000000
1.66097653,6.00913095,0.21771285,0.000000
1.70042968,6.00897455,0.21807845,0.000000
1.74000001,6.00881815,0.21845351,0.000000
1.77972651,6.00868130,0.21883835,0.000000
1.81957030,6.00850582,0.21923202,0.000000
1.85957026,6.00836897,0.21963577,0.000000
1.89972651,6.00821257,0.22004959,0.000000
1.94003904,6.00803709,0.22047256,0.000000
1.98046875,6.00790024,0.22090560,0.000000
2.02109361,6.00774384,0.22134933,0.000000
2.06187487,6.00756836,0.22180191,0.000000
4.34267569,12.40615177,0.45900649,0.000000
4.42755842,12.40580082,0.45998457,0.000000
4.51290989,12.40548801,0.46098343,0.000000
4.59857416,12.40515614,0.46200332,0.000000
4.68462896,12.40480423,0.46304518,0.000000
4.77107430,12.40449238,0.46410963,0.000000
4.85791016,12.40414047,0.46519575,0.000000
4.94517565,12.40378857,0.46630445,0.000000
5.03287077,12.40347672,0.46743760,0.000000
5.12099600,12.40312481,0.46859145,0.000000
5.20951176,12.40277290,0.46976912,0.000000
5.29853487,12.40244102,0.47097060,0.000000
5.38798809,12.40208912,0.47219497,0.000000
5.47789049,12.40174770,0.47344345,0.000000
5.56833982,12.40140629,0.47471878,0.000000
5.65923834,12.40103531,0.47601637,0.000000
5.75064421,12.40068340,0.47733963,0.000000
5.84255838,12.40033150,0.47868696,0.000000
5.89378881,12.31381798,0.47672591,0.000000
5.89302731,12.12199211,0.47068098,0.000000
5.97714853,12.10680676,0.47149795,0.000000
6.06898403,12.10645485,0.47291550,0.000000
6.16148424,12.10612297,0.47435927,0.000000
6.25445318,12.10575199,0.47583023,0.000000
6.34804678,12.10540009,0.47732741,0.000000
6.57070303,12.34656239,0.48840469,0.000000
6.66738272,12.34617138,0.48998886,0.000000
6.76468754,12.34580040,0.49160200,0.000000
6.86261702,12.34541035,0.49324295,0.000000
6.96121073,12.34503841,0.49491316,0.000000
7.06050777,12.34464836,0.49661359,0.000000
7.16046858,12.34427738,0.49834394,0.000000
7.26113272,12.34386730,0.50010544,0.000000
7.36253881,12.34349537,0.50189739,0.000000
7.46464825,12.34308529,0.50372207,0.000000
7.56753874,12.34267521,0.50557816,0.000000
7.67117167,12.34228516,0.50746685,0.000000
7.77558565,12.34189415,0.50938916,0.000000
7.88078117,12.34146500,0.51134473,0.000000
7.98683596,12.34107399,0.51333451,0.000000
8.09371090,12.34066391,0.51535934,0.000000
8.20136738,12.34023380,0.51741773,0.000000
8.30999947,12.33980465,0.51950699,0.000000
8.41945267,12.33939457,0.52164811,0.000000
8.52984333,12.33896446,0.52381939,0.000000
8.64109325,12.33853531,0.52602673,0.000000
8.75339794,12.33810520,0.52827221,0.000000
8.86656189,12.33765602,0.53055680,0.000000
8.98078060,12.33722591,0.53288192,0.000000
9.09601498,12.33677673,0.53524673,0.000000
